id,TransactionID,Date,CustomerID,PartNo,Quantity,Rate,TotalPrice,PartDescription,Category,Source,VehicleMake
0,4269,21-01-2023,CUST-342,SDT10193(STD),3,12.89,38.67,CLUTCHDISK,Others,Source,Honda
1,8603,22-06-2024,CUST-834,M748A-STD,2,8.97,17.94,LOWER ARM BUSH,Others,Aftermarket,VehicleMake
2,5669,17-09-2024,CUST-829,KYB334698,1,4.72,4.72,ENGMATE,Others,OEM,Toyota
3,958,13-11-2023,CUST-162,04371-60070,1,5.46,5.46,ENGINE INSULATION,Others,OEM,Nissan
4,7117,05-10-2024,CUST-328,GWT131,1,5.95,5.95,SHOCK ABSORBER,Others,Aftermarket,Mitsubishi
5,5262,04-08-2024,CUST-523,04495-06050,1,16.77,16.77,GROMMET,Others,Aftermarket,VehicleMake
6,2122,18-03-2025,CUST-516,SDT10193(STD),3,17.22,51.66,THRUST WASher,Others,Aftermarket,Nissan
7,4842,17-09-2024,CUST-438,DIAMBD-502,2,14.88,29.76,FUEL FILTER,Others,Aftermarket,Nissan
8,2847,09-02-2023,CUST-151,11011-38050,3,10.72,32.16,air filter,Others,Aftermarket,Generic
9,6858,06-11-2023,CUST-913,72-452,1,9.41,9.41,PETROLLOGGLE,Others,Source,Honda
10,5985,28-08-2024,CUST-732,13070-9BM0A,3,16.25,48.75,air filter,Others,Source,Nissan
11,5061,14-04-2024,CUST-239,MTBC1008,3,17.49,52.47,SHOCK ABSORBER,Others,OEM,Toyota
12,9523,08-10-2023,CUST-732,48820-0K030,1,12.16,12.16,air filtration kit,Others,OEM,Mitsubishi
13,242,21-01-2023,CUST-782,13091-ZK00A,3,15.93,47.79,FUEL FILTER,Others,Source,Mitsubishi
14,9963,01-11-2023,CUST-247,44348-33250,2,14.72,29.44,FUEL PUMP,Others,Source,Nissan
15,570,05-06-2023,CUST-547,48655-28020,1,5.18,5.18,THRUST WASher,Others,Source,Generic
16,5897,19-05-2025,CUST-560,23826-31080,2,4.69,9.38,MAIN BEARING,Others,OEM,Honda
17,4392,25-06-2024,CUST-367,13505-20030,2,9.81,19.62,AXLE BOOT,Others,Aftermarket,Nissan
18,960,20-05-2023,CUST-480,90311-T0016,2,7.2,14.4,THRUST WASher,Others,Aftermarket,VehicleMake
19,2565,04-04-2023,CUST-272,04465-0K580,3,7.27,21.81,air filter,Others,OEM,VehicleMake
20,651,19-02-2023,CUST-675,13505-20030,2,18.84,37.68,MAIN BEARING,Others,OEM,Nissan
21,9970,30-01-2023,CUST-972,48069-33060,1,7.24,7.24,LOWER ARMS,Others,OEM,Generic
22,2054,27-11-2023,CUST-774,12204-36030,2,14.58,29.16,IDLER BEARING,Others,Aftermarket,Honda
23,7344,27-06-2023,CUST-392,04111-11001,1,8.8,8.8,PETROL GAUGE,Others,Aftermarket,Toyota
24,5265,18-04-2025,CUST-628,SDTA10193(STD),2,2.55,5.1,GASKET SEALANT,Others,OEM,VehicleMake
25,6977,11-03-2024,CUST-601,15208-31U00,1,8.78,8.78,BELT TENSIONER,Others,Aftermarket,Generic
26,3218,13-05-2024,CUST-179,CET118,2,14.75,29.5,CON ROD BEARING,Others,Source,VehicleMake
27,7282,28-03-2024,CUST-430,4PK1070,3,17.42,52.26,BELT,Others,Aftermarket,Honda
28,4355,03-04-2025,CUST-245,4PK980,1,5.04,5.04,SPARK PLUG,Others,OEM,Honda
29,5749,19-03-2025,CUST-678,GWT131,2,6.3,12.6,OIL SEAL,Others,Aftermarket,VehicleMake
30,8001,16-02-2024,CUST-815,21200-31 UB0,3,13.2,39.6,CON ROD BEARING,Others,OEM,VehicleMake
31,4320,09-04-2023,CUST-443,11213-20030,1,17.85,17.85,CHAIN GUIDE,Others,Aftermarket,Mitsubishi
32,291,31-05-2024,CUST-571,MIT-COMMON-MOUNTING,3,9.05,27.15,OIL SEAL,Others,Source,Generic
33,4750,28-11-2024,CUST-326,68171-60070,2,8.94,17.88,ENGINE MOUNTING,Others,OEM,Generic
34,1137,11-01-2024,CUST-915,23300-75140,3,4.01,12.03,PartDescription,Others,Source,Mitsubishi
35,3414,18-09-2023,CUST-469,48655-28020,3,13.3,39.9,LUBRICANT,Others,Source,Generic
36,4253,31-03-2023,CUST-956,83320-0K010,3,15.9,47.7,Brake pad,Others,Aftermarket,Toyota
37,1317,02-09-2024,CUST-801,83320‑0K01A,3,16.75,50.25,SHAKE HOSE,Others,Source,Nissan
38,723,28-08-2024,CUST-785,KYB334698,3,9.49,28.47,air filtration kit,Others,Aftermarket,Mitsubishi
39,2763,12-05-2023,CUST-824,R748A-STD,2,6.26,12.52,air filter,Others,Aftermarket,Nissan
40,2571,15-03-2024,CUST-683,13070-ZK01B,2,8.01,16.02,POWERTRAIN KIT,Others,Aftermarket,Generic
41,7084,24-04-2023,CUST-201,CET118,1,19.86,19.86,PartDescription,Others,Aftermarket,VehicleMake
42,8058,28-06-2025,CUST-218,90915-YZZD2,2,6.75,13.5,FUEL PURIFICATION,Others,Source,Toyota
43,8321,25-08-2024,CUST-558,35330-73010,1,7.96,7.96,LOWER ARMS,Others,OEM,Generic
44,5130,16-12-2024,CUST-395,90919-01233,3,4.3,12.9,OIL FILTER,Others,OEM,Mitsubishi
45,2986,21-12-2024,CUST-747,MS1232(.50),3,14.05,42.15,OIL FILTER GASKET,Others,Aftermarket,Generic
46,8475,26-04-2023,CUST-841,23826-31080,2,10.34,20.68,BELT TENSIONER,Others,Source,VehicleMake
47,2379,11-06-2025,CUST-805,4PK980,3,5.81,17.43,brake shoe,Others,Aftermarket,Generic
48,1876,20-11-2024,CUST-295,17801-0C010,3,17.71,53.13,STEERING DAMPER,Others,OEM,Honda
49,4103,01-02-2023,CUST-395,90311-35033,1,17.77,17.77,GUM HOSE,Others,Aftermarket,Honda
50,8038,05-07-2024,CUST-544,12361-31081,1,8.9,8.9,PISTON,Others,Aftermarket,Mitsubishi
51,4396,28-05-2024,CUST-230,THREEBOND,3,11.83,35.49,GASKET SEALANT,Others,Source,VehicleMake
52,9621,15-06-2023,CUST-719,12361-31081,1,10.52,10.52,THERMOSTAT,Others,Aftermarket,Toyota
53,1783,06-03-2024,CUST-353,CLT19,3,13.78,41.34,FUEL PUMP,Others,Aftermarket,Mitsubishi
54,7544,20-05-2024,CUST-229,04111-11021,3,18.03,54.09,AIR FILTER,Others,Aftermarket,Honda
55,6245,22-02-2023,CUST-917,CBT57L,1,11.62,11.62,THERMOSTAT GASKET,Others,OEM,Honda
56,3055,03-04-2023,CUST-903,04465-06090,3,8.6,25.8,brake shoe,Others,Source,Toyota
57,4488,26-06-2025,CUST-739,90919-01233,1,13.12,13.12,LINK ROD,Others,Aftermarket,Generic
58,2469,11-06-2023,CUST-463,13091-ZK00A,2,4.17,8.34,STEERING BOOT,Others,Aftermarket,Generic
59,4736,16-06-2025,CUST-493,13070-ZK01B,1,18.24,18.24,GEAR GASKET,Others,Aftermarket,Honda
60,1056,31-12-2024,CUST-361,PartNo,2,8.23,16.46,OIL FILTER,Others,Aftermarket,Mitsubishi
61,8346,10-06-2023,CUST-738,11011-38050,2,12.19,24.38,THERMOSTAT GASKET,Others,Aftermarket,VehicleMake
62,9113,21-01-2025,CUST-348,SHELLAC,1,4.41,4.41,TRANSAXLE GASKET,Others,Source,VehicleMake
63,5867,29-10-2024,CUST-985,SDT10193(.50),2,3.49,6.98,WEATHER STRIP,Others,Source,Nissan
64,1733,18-12-2023,CUST-179,13091-ZK00A,1,17.1,17.1,LINKS,Others,Aftermarket,Honda
65,9438,01-11-2024,CUST-207,17801-31131,1,3.02,3.02,CON ROD BEARING(U),Others,OEM,VehicleMake
66,9455,30-10-2023,CUST-990,17801-0C010,3,2.7,8.1,POWER STEERING KIT,Others,Aftermarket,Generic
67,2568,02-12-2024,CUST-357,13070-ZK01B,1,10.65,10.65,AIR FILTER,Others,Source,Nissan
68,7245,19-08-2023,CUST-779,90311-35033,2,2.8,5.6,GUM HOSE,Others,Source,Generic
69,1909,31-10-2023,CUST-806,17801-31131,3,9.43,28.29,CLUTCHDISK,Others,Aftermarket,Toyota
70,5453,02-01-2025,CUST-659,M748A-STD,3,7.84,23.52,FUEL PUMP,Others,OEM,Toyota
71,3539,25-08-2023,CUST-129,11011-38050,2,14.92,29.84,BRAKE PAD,Others,OEM,VehicleMake
72,7769,29-07-2024,CUST-976,CLT19,1,14.83,14.83,UNIVERSAL JOINT,Others,Aftermarket,Mitsubishi
73,4272,12-03-2024,CUST-966,68174-60050,2,8.49,16.98,GROMMET,Others,OEM,Generic
74,1006,10-07-2024,CUST-765,04446-06060,1,12.37,12.37,brake shoe,Others,Source,Generic
75,9559,18-02-2023,CUST-250,12305-0C011,1,10.87,10.87,SHOCK ABSORBER,Others,OEM,Mitsubishi
76,5842,09-02-2025,CUST-568,13091-ZK00A,1,11.32,11.32,UNIVERSAL JACK COVER,Others,Source,Mitsubishi
77,2134,08-10-2024,CUST-628,48655-28020,3,6.62,19.86,POWER STEERING KIT,Others,OEM,Honda
78,6985,12-02-2025,CUST-492,02-132,3,8.85,26.55,PETROLLOAR ,Others,Source,VehicleMake
79,2699,23-02-2023,CUST-666,CB1232(STD),3,4.29,12.87,POWER STEERING KIT,Others,Aftermarket,Toyota
80,8846,08-01-2024,CUST-842,72-452,2,7.57,15.14,brake shoe,Others,OEM,Nissan
81,3852,29-02-2024,CUST-761,04111-11021,3,13.26,39.78,COOLANT,Others,Aftermarket,Toyota
82,5883,09-08-2024,CUST-336,12261-31060,1,19.86,19.86,PETROLLOGGLE,Others,OEM,VehicleMake
83,2554,23-10-2024,CUST-215,13505-20030,1,11.81,11.81,CLUTCHDISK,Others,Aftermarket,Mitsubishi
84,3136,13-04-2023,CUST-527,12305-0C011,1,19.82,19.82,LOWER ARMS,Others,Source,Toyota
85,9586,18-06-2023,CUST-842,13503-62030,1,6.95,6.95,POWERTRAIN KIT,Others,Source,Generic
86,8536,04-01-2023,CUST-806,11193-70010,1,18.49,18.49,brake shoe,Others,Source,Generic
87,5024,26-08-2024,CUST-782,THREEBOND,1,10.16,10.16,LINKS,Others,Source,Honda
88,3848,07-06-2023,CUST-799,17801-0C010,1,4.32,4.32,LOWER ARM,Others,OEM,Toyota
89,850,21-12-2023,CUST-370,90919-01233,1,15.35,15.35,VENTILATION VALVE,Others,OEM,Toyota
90,2145,18-07-2024,CUST-805,23826-31080,3,15.71,47.13,TIMING BELT,Others,Source,Mitsubishi
91,6753,28-01-2024,CUST-192,PartNo,2,4.43,8.86,gasket kit,Others,Aftermarket,Toyota
92,4621,18-07-2023,CUST-218,THREEBOND,1,5.5,5.5,BELT TENSIONER,Others,Aftermarket,Honda
93,6875,16-05-2025,CUST-673,4PK980,1,15.88,15.88,CLUTCH COVER,Others,OEM,Toyota
94,7118,26-06-2023,CUST-328,44348-33250,3,13.06,39.18,GASKET KIT,Others,Source,Nissan
95,8096,09-10-2023,CUST-826,21200-VJ20A,2,19.26,38.52,TRANSAXLE GASKET,Others,OEM,Honda
96,504,21-11-2024,CUST-203,04111-11001,2,6.81,13.62,BELT,Others,Aftermarket,Generic
97,4862,19-01-2023,CUST-436,90311-T0016,2,19.47,38.94,VENTILATION VALVE,Others,Source,Generic
98,8650,20-12-2023,CUST-866,12361-31081,2,10.3,20.6,gasket kit,Others,OEM,Generic
99,9631,10-10-2023,CUST-861,13070-9BM0A,1,13.93,13.93,FUEL PUMP,Others,OEM,VehicleMake
100,2499,03-05-2024,CUST-233,90445-18130,2,6.26,12.52,PCV VALVE,Others,Aftermarket,Nissan
101,2965,23-06-2024,CUST-345,4PK930,2,7.07,14.14,OIL FILTER,Others,Source,Generic
102,8063,09-04-2025,CUST-333,12204-36030,3,8.0,24.0,FUEL PUMP,Others,OEM,Generic
103,4161,05-03-2023,CUST-513,90311-T0016,3,2.7,8.1,common mounting,Others,OEM,VehicleMake
104,2443,01-02-2025,CUST-620,KYB334399,2,15.6,31.2,WATER PUMP,Others,Aftermarket,Generic
105,7701,28-11-2023,CUST-473,DIAMBD-006U,2,12.56,25.12,FUEL FILTER,Others,OEM,Honda
106,8853,02-06-2023,CUST-314,DAITYK029,3,9.89,29.67,PETROLLOAR ,Others,Aftermarket,Honda
107,2507,28-04-2023,CUST-714,CLT19,3,8.12,24.36,LOWER ARM BUSH,Others,OEM,Nissan
108,5534,15-01-2025,CUST-601,THREEBOND,2,6.99,13.98,SHAKE HOSE,Others,OEM,Generic
109,4202,30-11-2023,CUST-945,KYB334400,2,19.6,39.2,LOWER ARM BUSH,Others,OEM,Nissan
110,2357,04-02-2024,CUST-980,12361-31081,3,17.55,52.65,ENGINE MOUNTING,Others,Source,Honda
111,671,28-07-2024,CUST-645,15208-31U00,3,13.38,40.14,air filter,Others,Aftermarket,Nissan
112,7643,11-11-2024,CUST-399,CB1232,2,7.57,15.14,gasket kit,Others,OEM,Nissan
113,3633,03-09-2024,CUST-744,48820-0K030,3,13.72,41.16,FUEL PURIFICATION,Others,Aftermarket,Toyota
114,2500,26-01-2025,CUST-962,10101-EA225,1,5.64,5.64,PETROLS GASKET,Others,OEM,Generic
115,1055,04-04-2025,CUST-507,R748A-STD,2,2.83,5.66,OIL FILTER GASKET,Others,Aftermarket,VehicleMake
116,9908,17-05-2023,CUST-160,23300-75140,3,13.52,40.56,OIL FILTER,Others,Source,VehicleMake
117,539,14-03-2025,CUST-351,4410A180-K,1,12.63,12.63,UNIVERSAL JACK COVER,Others,Aftermarket,VehicleMake
118,6896,21-10-2024,CUST-767,16100-39456,1,2.55,2.55,STEERING DAMPER,Others,OEM,Nissan
119,6808,25-05-2023,CUST-747,GWT131,2,17.81,35.62,GASKET KIT,Others,Source,Mitsubishi
120,4249,18-11-2023,CUST-845,12305-0C011,1,16.2,16.2,STEERING DAMPER,Others,Source,Generic
121,7426,07-05-2024,CUST-223,LUCIDES,3,9.16,27.48,air filter,Others,Source,Nissan
122,3307,15-04-2023,CUST-239,21200-31 UB0,3,7.83,23.49,SPARK PLUG,Others,OEM,Nissan
123,3026,27-05-2025,CUST-218,PartNo,2,10.12,20.24,MAIN BEARING,Others,Aftermarket,Mitsubishi
124,5265,13-01-2023,CUST-738,68173-60050,1,8.28,8.28,TIEROD END,Others,Aftermarket,Generic
125,3126,05-07-2023,CUST-852,KYB33340187,2,17.69,35.38,LINKS,Others,Source,Mitsubishi
126,985,16-05-2023,CUST-499,SDT10193(STD),3,10.99,32.97,gasket kit,Others,Aftermarket,Honda
127,10060,11-03-2024,CUST-226,MTBC1008,1,17.27,17.27,UNIVERSAL JOINT,Others,Aftermarket,Toyota
128,2815,10-10-2023,CUST-916,68173-60050,2,18.74,37.48,THRUST WASHER,Others,OEM,Honda
129,9808,19-03-2024,CUST-857,KYB334698,2,5.2,10.4,BELT TENSIONER,Others,OEM,Mitsubishi
130,1870,18-08-2024,CUST-860,72-452,3,13.63,40.89,PISTON RING,Others,Aftermarket,VehicleMake
131,7883,17-10-2023,CUST-316,02-132,2,10.61,21.22,brake shoe,Others,OEM,Toyota
